"fecha";"fi";"Acum_fi";"factor"
2020-08-27;10104;380292;1,027294
2020-08-28;10379,778576;390671,689848;1,027294
2020-08-29;10663,0842524533;401334,682950711;1,027294
2020-08-30;10954,1224740398;412288,711787168;1,027294
2020-08-31;11253,1042928462;423541,719886687;1,027294
2020-09-01;11560,2465214152;435101,867589274;1,027294
2020-09-02;11875,7718899707;446977,537963256;1,027294
2020-09-03;12199,9092079356;459177,342884425;1,027294
2020-09-04;12532,8935298569;471710,129281112;1,027294
2020-09-05;12874,9663258609;484584,985549711;1,027294
2020-09-06;13226,3756567589;497811,248145305;1,027294
2020-09-07;13587,3763539345;511398,508352183;1,027294
2020-09-08;13958,2302041388;525356,619239147;1,027294
2020-09-09;14339,2061393305;539695,70280466;1,027294
2020-09-10;14730,5804316974;554426,157317011;1,027294
2020-09-11;15132,6368940002;569558,664854821;1,027294
2020-09-12;15545,667085385;585104,199053369;1,027294
2020-09-13;15969,9705228135;601074,033062331;1,027294
2020-09-14;16405,8548982632;617479,747720734;1,027294
2020-09-15;16853,6363018564;634333,239955024;1,027294
2020-09-16;17313,6394510792;651646,731406356;1,027294
2020-09-17;17786,197926257;669432,777293361;1,027294
2020-09-18;18271,6544124563;687704,275516806;1,027294
2020-09-19;18770,3609479898;706474,476012762;1,027294
2020-09-20;19282,6791797043;725756,990361054;1,027294
2020-09-21;19808,9806252351;745565,801655969;1,027294
2020-09-22;20349,6469424203;765915,274646367;1,027294
2020-09-23;20905,0702060667;786820,166152565;1,027294
2020-09-24;21475,6531922711;808295,635767533;1,027294
2020-09-25;22061,8096705009;830357,256850172;1,027294
