"mes";"semana";"fecha";"fi";"Acum_fi";"fr";"frPorcent";"Acum_fr";"Acum_frPorcent";"factor"
3;"09";2020-03-01;0;0;0;0;0;0;1
3;"10";2020-03-02;0;0;0;0;0;0;1
3;"10";2020-03-03;1;1;0;0;0;0;1
3;"10";2020-03-04;0;1;0;0;0;0;1
3;"10";2020-03-05;0;1;0;0;0;0;1
3;"10";2020-03-06;1;2;0;0;0;0;1
3;"10";2020-03-07;6;8;0;0;0;0;1
3;"10";2020-03-08;4;12;0;0;0;0;1
3;"11";2020-03-09;0;12;0;0;0;0;1
3;"11";2020-03-10;5;17;0;0;0;0;1
3;"11";2020-03-11;2;19;0;0;0;0;1
3;"11";2020-03-12;0;19;0;0;0;0;1
3;"11";2020-03-13;12;31;0;0;0,0001;0,01;1
3;"11";2020-03-14;3;34;0;0;0,0001;0,01;1
3;"11";2020-03-15;11;45;0;0;0,0001;0,01;1
3;"12";2020-03-16;11;56;0;0;0,0001;0,01;1
3;"12";2020-03-17;12;68;0;0;0,0002;0,02;1
3;"12";2020-03-18;11;79;0;0;0,0002;0,02;1
3;"12";2020-03-19;18;97;0;0;0,0003;0,03;1
3;"12";2020-03-20;31;128;0,0001;0,01;0,0003;0,03;1,234375
3;"12";2020-03-21;30;158;0,0001;0,01;0,0004;0,04;1,68354430379747
3;"12";2020-03-22;108;266;0,0003;0,03;0,0007;0,07;1,13157894736842
3;"13";2020-03-23;35;301;0,0001;0,01;0,0008;0,08;1,28571428571429
3;"13";2020-03-24;86;387;0,0002;0,02;0,001;0,1;1
3;"13";2020-03-25;0;387;0;0;0,001;0,1;1
3;"13";2020-03-26;115;502;0,0003;0,03;0,0013;0,13;1,17330677290837
3;"13";2020-03-27;87;589;0,0002;0,02;0,0015;0,15;1,17147707979626
3;"13";2020-03-28;101;690;0,0003;0,03;0,0018;0,18;1,07971014492754
3;"13";2020-03-29;55;745;0,0001;0,01;0,002;0,2;1,1006711409396
3;"14";2020-03-30;75;820;0,0002;0,02;0,0022;0,22;1,28536585365854
3;"14";2020-03-31;234;1054;0,0006;0,06;0,0028;0,28;1
4;"14";2020-04-01;0;1054;0;0;0,0028;0,28;1
4;"14";2020-04-02;79;1133;0,0002;0,02;0,003;0,3;1,11650485436893
4;"14";2020-04-03;132;1265;0,0003;0,03;0,0033;0,33;1,14703557312253
4;"14";2020-04-04;186;1451;0,0005;0,05;0,0038;0,38;1
4;"14";2020-04-05;0;1451;0;0;0,0038;0,38;1
4;"15";2020-04-06;103;1554;0,0003;0,03;0,0041;0,41;1,04761904761905
4;"15";2020-04-07;74;1628;0,0002;0,02;0,0043;0,43;1,0534398034398
4;"15";2020-04-08;87;1715;0,0002;0,02;0,0045;0,45;1,0466472303207
4;"15";2020-04-09;80;1795;0,0002;0,02;0,0047;0,47;1,10027855153203
4;"15";2020-04-10;180;1975;0,0005;0,05;0,0052;0,52;1
4;"15";2020-04-11;0;1975;0;0;0,0052;0,52;1
4;"15";2020-04-12;167;2142;0,0004;0,04;0,0056;0,56;1,03081232492997
4;"16";2020-04-13;66;2208;0,0002;0,02;0,0058;0,58;1,03125
4;"16";2020-04-14;69;2277;0,0002;0,02;0,006;0,6;1,07290294246816
4;"16";2020-04-15;166;2443;0,0004;0,04;0,0064;0,64;1,0523945968072
4;"16";2020-04-16;128;2571;0,0003;0,03;0,0068;0,68;1,03811746402178
4;"16";2020-04-17;98;2669;0,0003;0,03;0,007;0,7;1,0333458224054
4;"16";2020-04-18;89;2758;0,0002;0,02;0,0073;0,73;1,02936910804931
4;"16";2020-04-19;81;2839;0,0002;0,02;0,0075;0,75;1,03592814371257
4;"17";2020-04-20;102;2941;0,0003;0,03;0,0077;0,77;1,03060183611017
4;"17";2020-04-21;90;3031;0,0002;0,02;0,008;0,8;1,03728142527219
4;"17";2020-04-22;113;3144;0,0003;0,03;0,0083;0,83;1,0925572519084
4;"17";2020-04-23;291;3435;0,0008;0,08;0,009;0,9;1,05007278020378
4;"17";2020-04-24;172;3607;0,0005;0,05;0,0095;0,95;1,04796229553646
4;"17";2020-04-25;173;3780;0,0005;0,05;0,0099;0,99;1,02962962962963
4;"17";2020-04-26;112;3892;0,0003;0,03;0,0102;1,02;1,02852004110997
4;"18";2020-04-27;111;4003;0,0003;0,03;0,0105;1,05;1,03097676742443
4;"18";2020-04-28;124;4127;0,0003;0,03;0,0109;1,09;1,03828446813666
4;"18";2020-04-29;158;4285;0,0004;0,04;0,0113;1,13;1,03337222870478
4;"18";2020-04-30;143;4428;0,0004;0,04;0,0116;1,16;1,02348690153568
5;"18";2020-05-01;104;4532;0,0003;0,03;0,0119;1,19;1,0328773168579
5;"18";2020-05-02;149;4681;0,0004;0,04;0,0123;1,23;1,02179021576586
5;"18";2020-05-03;102;4783;0,0003;0,03;0,0126;1,26;1,02174367551746
5;"19";2020-05-04;104;4887;0,0003;0,03;0,0129;1,29;1,02721506036423
5;"19";2020-05-05;133;5020;0,0003;0,03;0,0132;1,32;1,03745019920319
5;"19";2020-05-06;188;5208;0,0005;0,05;0,0137;1,37;1,0312980030722
5;"19";2020-05-07;163;5371;0,0004;0,04;0,0141;1,41;1,04468441630981
5;"19";2020-05-08;240;5611;0,0006;0,06;0,0148;1,48;1,02940652290144
5;"19";2020-05-09;165;5776;0,0004;0,04;0,0152;1,52;1,0446675900277
5;"19";2020-05-10;258;6034;0,0007;0,07;0,0159;1,59;1,04043752071594
5;"20";2020-05-11;244;6278;0,0006;0,06;0,0165;1,65;1,04539662312838
5;"20";2020-05-12;285;6563;0,0007;0,07;0,0173;1,73;1,04814871247905
5;"20";2020-05-13;316;6879;0,0008;0,08;0,0181;1,81;1,03706934147405
5;"20";2020-05-14;255;7134;0,0007;0,07;0,0188;1,88;1,04835996635828
5;"20";2020-05-15;345;7479;0,0009;0,09;0,0197;1,97;1,04358871506886
5;"20";2020-05-16;326;7805;0,0009;0,09;0,0205;2,05;1,03369634849455
5;"20";2020-05-17;263;8068;0,0007;0,07;0,0212;2,12;1,03755577590481
5;"21";2020-05-18;303;8371;0,0008;0,08;0,022;2,2;1,05232349778999
5;"21";2020-05-19;438;8809;0,0012;0,12;0,0232;2,32;1,05380860483596
5;"21";2020-05-20;474;9283;0,0012;0,12;0,0244;2,44;1,0698050199289
5;"21";2020-05-21;648;9931;0,0017;0,17;0,0261;2,61;1,07229886214883
5;"21";2020-05-22;718;10649;0,0019;0,19;0,028;2,8;1,06610949384919
5;"21";2020-05-23;704;11353;0,0019;0,19;0,0299;2,99;1,06368360785695
5;"21";2020-05-24;723;12076;0,0019;0,19;0,0318;3,18;1,04571050016562
5;"22";2020-05-25;552;12628;0,0015;0,15;0,0332;3,32;1,04751346214761
5;"22";2020-05-26;600;13228;0,0016;0,16;0,0348;3,48;1,05329603870578
5;"22";2020-05-27;705;13933;0,0019;0,19;0,0366;3,66;1,05519270795952
5;"22";2020-05-28;769;14702;0,002;0,2;0,0387;3,87;1,048768874983
5;"22";2020-05-29;717;15419;0,0019;0,19;0,0405;4,05;1,05155976392762
5;"22";2020-05-30;795;16214;0,0021;0,21;0,0426;4,26;1,03928703589491
5;"22";2020-05-31;637;16851;0,0017;0,17;0,0443;4,43;1,03346982374933
6;"23";2020-06-01;564;17415;0,0015;0,15;0,0458;4,58;1,0519092736147
6;"23";2020-06-02;904;18319;0,0024;0,24;0,0482;4,82;1,05180413778045
6;"23";2020-06-03;949;19268;0,0025;0,25;0,0507;5,07;1,04821465642516
6;"23";2020-06-04;929;20197;0,0024;0,24;0,0531;5,31;1,0415903351983
6;"23";2020-06-05;840;21037;0,0022;0,22;0,0553;5,53;1,04672719494224
6;"23";2020-06-06;983;22020;0,0026;0,26;0,0579;5,79;1,03514986376022
6;"23";2020-06-07;774;22794;0,002;0,2;0,0599;5,99;1,03623760638765
6;"24";2020-06-08;826;23620;0,0022;0,22;0,0621;6,21;1,04830651989839
6;"24";2020-06-09;1141;24761;0,003;0,3;0,0651;6,51;1,04951334760309
6;"24";2020-06-10;1226;25987;0,0032;0,32;0,0683;6,83;1,05333435948744
6;"24";2020-06-11;1386;27373;0,0036;0,36;0,072;7,2;1,05081649800899
6;"24";2020-06-12;1391;28764;0,0037;0,37;0,0756;7,56;1,05322625504102
6;"24";2020-06-13;1531;30295;0,004;0,4;0,0797;7,97;1,04231721406173
6;"24";2020-06-14;1282;31577;0,0034;0,34;0,083;8,3;1,03825569243437
6;"25";2020-06-15;1208;32785;0,0032;0,32;0,0862;8,62;1,04190940979106
6;"25";2020-06-16;1374;34159;0,0036;0,36;0,0898;8,98;1,04077988231506
6;"25";2020-06-17;1393;35552;0,0037;0,37;0,0935;9,35;1,05507425742574
6;"25";2020-06-18;1958;37510;0,0051;0,51;0,0986;9,86;1,05491868834977
6;"25";2020-06-19;2060;39570;0,0054;0,54;0,1041;10,41;1,04129390952742
6;"25";2020-06-20;1634;41204;0,0043;0,43;0,1083;10,83;1,03837006115911
6;"25";2020-06-21;1581;42785;0,0042;0,42;0,1125;11,25;1,05015776557205
6;"26";2020-06-22;2146;44931;0,0056;0,56;0,1181;11,81;1,05056642407247
6;"26";2020-06-23;2272;47203;0,006;0,6;0,1241;12,41;1,05609812935619
6;"26";2020-06-24;2648;49851;0,007;0,7;0,1311;13,11;1,05227578182985
6;"26";2020-06-25;2606;52457;0,0069;0,69;0,1379;13,79;1,05501648969632
6;"26";2020-06-26;2886;55343;0,0076;0,76;0,1455;14,55;1,04338398713478
6;"26";2020-06-27;2401;57744;0,0063;0,63;0,1518;15,18;1,03790870047104
6;"26";2020-06-28;2189;59933;0,0058;0,58;0,1576;15,76;1,03896017219228
6;"27";2020-06-29;2335;62268;0,0061;0,61;0,1637;16,37;1,03632684524957
6;"27";2020-06-30;2262;64530;0,0059;0,59;0,1697;16,97;1,04132961413296
7;"27";2020-07-01;2667;67197;0,007;0,7;0,1767;17,67;1,04083515633138
7;"27";2020-07-02;2744;69941;0,0072;0,72;0,1839;18,39;1,04067714216268
7;"27";2020-07-03;2845;72786;0,0075;0,75;0,1914;19,14;1,03558376610887
7;"27";2020-07-04;2590;75376;0,0068;0,68;0,1982;19,82;1,03235777966461
7;"27";2020-07-05;2439;77815;0,0064;0,64;0,2046;20,46;1,03382381288955
7;"28";2020-07-06;2632;80447;0,0069;0,69;0,2115;21,15;1,0370305915696
7;"28";2020-07-07;2979;83426;0,0078;0,78;0,2194;21,94;1,04319996164265
7;"28";2020-07-08;3604;87030;0,0095;0,95;0,2289;22,89;1,04208893485005
7;"28";2020-07-09;3663;90693;0,0096;0,96;0,2385;23,85;1,03712524671143
7;"28";2020-07-10;3367;94060;0,0089;0,89;0,2473;24,73;1,03666808420157
7;"28";2020-07-11;3449;97509;0,0091;0,91;0,2564;25,64;1,0272487667805
7;"28";2020-07-12;2657;100166;0,007;0,7;0,2634;26,34;1,03093864185452
7;"29";2020-07-13;3099;103265;0,0081;0,81;0,2715;27,15;1,035297535467
7;"29";2020-07-14;3645;106910;0,0096;0,96;0,2811;28,11;1,03962211205687
7;"29";2020-07-15;4236;111146;0,0111;1,11;0,2923;29,23;1,03272272506433
7;"29";2020-07-16;3637;114783;0,0096;0,96;0,3018;30,18;1,03936122945035
7;"29";2020-07-17;4518;119301;0,0119;1,19;0,3137;31,37;1,02701569978458
7;"29";2020-07-18;3223;122524;0,0085;0,85;0,3222;32,22;1,03453201005517
7;"29";2020-07-19;4231;126755;0,0111;1,11;0,3333;33,33;1,03170683602225
7;"30";2020-07-20;4019;130774;0,0106;1,06;0,3439;34,39;1,04086439200453
7;"30";2020-07-21;5344;136118;0,0141;1,41;0,3579;35,79;1,04247785010065
7;"30";2020-07-22;5782;141900;0,0152;1,52;0,3731;37,31;1,04317829457364
7;"30";2020-07-23;6127;148027;0,0161;1,61;0,3892;38,92;1,0371080951448
7;"30";2020-07-24;5493;153520;0,0144;1,44;0,4037;40,37;1,03135747785305
7;"30";2020-07-25;4814;158334;0,0127;1,27;0,4163;41,63;1,02647567799715
7;"30";2020-07-26;4192;162526;0,011;1,1;0,4274;42,74;1,03008749369332
7;"31";2020-07-27;4890;167416;0,0129;1,29;0,4402;44,02;1,03547450661824
7;"31";2020-07-28;5939;173355;0,0156;1,56;0,4558;45,58;1,03254016324882
7;"31";2020-07-29;5641;178996;0,0148;1,48;0,4707;47,07;1,0356264944468
7;"31";2020-07-30;6377;185373;0,0168;1,68;0,4874;48,74;1,03198416166324
7;"31";2020-07-31;5929;191302;0,0156;1,56;0,503;50,3;1,02739647259307
8;"31";2020-08-01;5241;196543;0,0138;1,38;0,5168;51,68;1,02735279302748
8;"31";2020-08-02;5376;201919;0,0141;1,41;0,531;53,1;1,02389076808027
8;"32";2020-08-03;4824;206743;0,0127;1,27;0,5436;54,36;1,0328523819428
8;"32";2020-08-04;6792;213535;0,0179;1,79;0,5615;56,15;1,03346992296345
8;"32";2020-08-05;7147;220682;0,0188;1,88;0,5803;58,03;1,03404446216728
8;"32";2020-08-06;7513;228195;0,0198;1,98;0,6001;60,01;1,03278774732137
8;"32";2020-08-07;7482;235677;0,0197;1,97;0,6197;61,97;1,02602714732452
8;"32";2020-08-08;6134;241811;0,0161;1,61;0,6359;63,59;1,01938704194598
8;"32";2020-08-09;4688;246499;0,0123;1,23;0,6482;64,82;1,02989464460302
8;"33";2020-08-10;7369;253868;0,0194;1,94;0,6676;66,76;1,02774276395607
8;"33";2020-08-11;7043;260911;0,0185;1,85;0,6861;68,61;1,02937016837159
8;"33";2020-08-12;7663;268574;0,0202;2,02;0,7062;70,62;1,02791781780813
8;"33";2020-08-13;7498;276072;0,0197;1,97;0,7259;72,59;1,02305557970385
8;"33";2020-08-14;6365;282437;0,0167;1,67;0,7427;74,27;1,02359110173242
8;"33";2020-08-15;6663;289100;0,0175;1,75;0,7602;76,02;1,01891732964372
8;"33";2020-08-16;5469;294569;0,0144;1,44;0,7746;77,46;1,01547005964647
8;"34";2020-08-17;4557;299126;0,012;1,2;0,7866;78,66;1,02286661808068
8;"34";2020-08-18;6840;305966;0,018;1,8;0,8046;80,46;1,02187497957289
8;"34";2020-08-19;6693;312659;0,0176;1,76;0,8222;82,22;1,02630661519419
8;"34";2020-08-20;8225;320884;0,0216;2,16;0,8438;84,38;1,02542663392379
8;"34";2020-08-21;8159;329043;0,0215;2,15;0,8652;86,52;1,02358050467568
8;"34";2020-08-22;7759;336802;0,0204;2,04;0,8856;88,56;1,01589064197956
8;"34";2020-08-23;5352;342154;0,0141;1,41;0,8997;89,97;1,02546514142754
8;"35";2020-08-24;8713;350867;0,0229;2,29;0,9226;92,26;1,02499807619411
8;"35";2020-08-25;8771;359638;0,0231;2,31;0,9457;94,57;1,02933505358166
8;"35";2020-08-26;10550;370188;0,0277;2,77;0,9734;97,34;1,02729423968362
8;"35";2020-08-27;10104;380292;0,0266;2,66;1;100;1
