"semana";"fi";"Acum_fi";"fr";"frPorcent";"Acum_fr";"Acum_frPorcent"
"09";0;0;0;0;0;0
"10";12;12;0;0;0;0
"11";33;45;0;0;0,0001;0,01
"12";221;266;0,0005;0,05;0,0007;0,07
"13";479;745;0,0012;0,12;0,002;0,2
"14";706;1451;0,0018;0,18;0,0038;0,38
"15";691;2142;0,0018;0,18;0,0056;0,56
"16";697;2839;0,0018;0,18;0,0075;0,75
"17";1053;3892;0,0029;0,29;0,0102;1,02
"18";891;4783;0,0024;0,24;0,0126;1,26
"19";1251;6034;0,0032;0,32;0,0159;1,59
"20";2034;8068;0,0053;0,53;0,0212;2,12
"21";4008;12076;0,0106;1,06;0,0318;3,18
"22";4775;16851;0,0127;1,27;0,0443;4,43
"23";5943;22794;0,0156;1,56;0,0599;5,99
"24";8783;31577;0,0231;2,31;0,083;8,3
"25";11208;42785;0,0295;2,95;0,1125;11,25
"26";17148;59933;0,0452;4,52;0,1576;15,76
"27";17882;77815;0,0469;4,69;0,2046;20,46
"28";22351;100166;0,0588;5,88;0,2634;26,34
"29";26589;126755;0,0699;6,99;0,3333;33,33
"30";35771;162526;0,0941;9,41;0,4274;42,74
"31";39393;201919;0,1036;10,36;0,531;53,1
"32";44580;246499;0,1173;11,73;0,6482;64,82
"33";48070;294569;0,1264;12,64;0,7746;77,46
"34";47585;342154;0,1252;12,52;0,8997;89,97
"35";38138;380292;0,1003;10,03;1;100
